country,date,GDP_cnstn,GDP_growth,GDP_cnstn_usd,GDP_pp_usd,GDP_pp_LCU,Inflatn,forgn_invst,forgn_invst_gdp,Fin_consum,Fin_consum_govern,Ext_balnce_g_s,Fin_consum_hous,Unmploy,Labor_part,GDP_usd
Belgium,2020,463750900000.0,-4.7929839083518,470417598101.755,40769.0218072962,40191.2484387193,1.59611667576401,-30140703656.7745,-5.69020542304612,74.4878123147578,24.3008045914304,1.44361983987524,49.0505786619498,5.545,53.814,529694473501.791
Belgium,2019,487097400000.0,2.4428900448156,494099718080.569,43006.4042308863,42396.9229644407,1.85424076568934,-10587088044.237,-1.97252997818915,74.8549416210288,23.0038112825895,0.469376147290335,51.2398400733849,5.364,54.393,536726344405.489
Belgium,2018,475481900000.0,1.87796847383565,482317238282.145,42208.3625650272,41610.1910431158,1.71728236623039,-41601387266.7493,-7.66649538713467,75.760002681223,23.1696191313969,-1.3115794449433,51.8410774686295,5.941,54.184,542638913427.921
Belgium,2017,466717100000.0,1.47446761556785,473426439010.72,41619.328629169,41029.504820944,1.98316343604859,-37288840312.453,-7.4442379017663,75.6834350006044,23.1178023270709,-0.0152681327682546,51.6628507611063,7.09,53.838,500908767351.53
Belgium,2016,459935500000.0,1.19350273007754,466547349432.055,41172.8862831209,40589.3893987886,1.89528913569444,57538351507.0684,12.1319420227113,75.6398565957573,23.3498908084191,0.178566802445275,51.4852598951005,7.83,53.11,474271566739.729
Belgium,2015,454510900000.0,1.47416433731927,461044767544.531,40893.804537772,40314.2627642805,1.12183851916816,-19514245854.7287,-4.23261410354123,75.9908359764931,23.681203644432,0.686796394072263,51.4826802843543,8.482,53.31,461044767544.531
Belgium,2014,447908000000.0,1.76554038149924,454346946885.841,40533.9135027898,39959.4720590679,0.840395740063599,-15205871357.966,-2.82643623555084,76.5202738158472,24.1169029008666,0.22143020651756,51.5609878844316,8.523,53.506,537987419164.351
Belgium,2013,440137200000.0,0.305494549070232,446464436962.24,40007.8997891411,39440.9129445678,1.41248965471736,-29640924980.1455,-5.65561784857252,77.0418505267015,24.205791803329,0.249204100286785,52.2303564247093,8.425,53.559,524097026598.55
Belgium,2012,438796700000.0,0.215803612089744,445104666468.521,40074.492800399,39506.5622081777,2.20573642403188,11810272330.6796,2.36956900950954,76.6971210891312,24.1930798182891,-0.285357156574466,51.708082979902,7.542,53.249,498414364944.961
Belgium,2011,437851800000.0,1.93115502411325,444146182962.729,40236.9596308558,39666.7265794694,2.29252172328242,163624381384.583,31.0366884311298,75.7432301488018,23.8730556199494,-0.222788184358147,51.1646346067833,7.14,53.199,527196649048.639
Belgium,2010,429556400000.0,2.71031150254662,435731531598.616,39991.5646206286,39424.8092759765,1.70310444520605,125491894873.015,26.0596407490286,76.1117094259921,23.7260022508386,1.49401611706123,51.4235948226308,8.293,54.07,481556503720.001
Belgium,2009,418221300000.0,-1.90644105515335,424233482718.834,39293.637546825,38736.7731354987,0.781821174283053,77354509260.1055,15.948905674901,75.9198458365841,24.1041091935264,2.05374841581906,51.1863778987959,7.908,53.473,485014525992.461
Belgium,2008,426349400000.0,0.446905130727231,432478429044.827,40380.9075004042,39808.6344382007,1.90886937353629,190391844688.586,36.8029204549975,73.3904375096484,22.6661446948071,0.672792159959925,50.7242928148413,6.976,53.678,517328087920.078
Belgium,2007,424452500000.0,3.67692462515802,430554259966.472,40520.0843207009,39945.8388623808,1.93167835957435,96551634531.2489,20.5026740062328,71.2615633191306,21.6158948183584,4.13516253034976,49.6456685007722,7.459,53.586,470922156309.453
Belgium,2006,409399200000.0,2.55234087322462,415284559725.448,39371.0858277448,38813.1238292758,2.26471618933262,58821552824.3717,14.4078713936675,71.9869660758139,21.9387885339603,4.0424848109266,50.0481775418536,8.246,53.114,408259840868.823
Belgium,2005,399210000000.0,2.32173792911834,404948883847.345,38645.2605193362,38097.5848244096,2.08307333949642,33662010793.5663,8.72717720186463,72.2823296271162,22.093997631255,4.03660717280743,50.1883319958611,8.44,53.299,385714762230.039
Belgium,2004,390151700000.0,3.57120671942319,395760365336.901,37976.6972967442,37438.4963943954,1.91498861024229,44498165771.1404,12.0521106747569,72.4387902824509,22.1972126513166,4.89414954600385,50.2415776311343,7.363,52.03,369214712443.206
Belgium,2003,376699000000.0,1.03795518162204,382114274683.528,36826.2699296094,36304.3727369339,1.85011626988718,34559267489.7082,10.8648744877518,73.6778281096528,22.4843723439742,5.35746418388038,51.1934557656787,7.68,51.348,318082528506.588
Belgium,2002,372829200000.0,1.70689430349601,378188843981.109,36600.862592332,36082.1598436433,1.63999808262712,18118954671.3727,7.01242443993657,73.6751521193138,22.1388815392458,5.57744590327235,51.536270580068,6.91,51.188,258383599375.177
Belgium,2001,366572200000.0,1.09960362419645,371841895842.954,36148.2880924306,35635.9991717356,1.98281811777269,88203254000.0,37.2564694834172,73.7190964946361,21.3136063380204,3.64707800596894,52.4054901566157,6.178,50.891,236746141604.37
Belgium,2000,362585200000.0,3.71670510672588,367797580320.048,35878.3153586195,35369.8524570174,2.01459208675317,88738714000.0,37.4753122979087,73.3523834487106,21.0401971476314,2.86465524907909,52.3121863010792,6.586,52.293,236792460312.471
